Student ID,age,gender,grade,speed_c,number_stroke_c,mean_pressure_c,mean_altitude_c,modulus_altitude_c,mean_azimuth_c,modulus_azimuth_c,speed_b,number_stroke_b,mean_pressure_b,mean_altitude_b,modulus_altitude_b,mean_azimuth_b,modulus_azimuth_b,Label Emotion_y,Fine Motor Skill Label
10005.0,6,0,1,168,40,362,1133,1170,545,530,247,44,441,1059,1010,519,520,negative,
10007.0,6,0,1,198,48,405,875,900,572,560,159,44,544,935,900,596,590,negative,
10015.0,8,0,2,138,43,221,833,770,523,500,116,30,325,1085,1100,631,660,negative,
10107.0,6,0,1,77,35,549,673,700,582,570,89,39,504,725,780,579,590,negative,
10112.0,6,0,1,100,49,254,1210,1170,502,480,104,41,227,1165,1170,510,510,negative,
10115.0,5,1,1,92,40,436,913,900,599,580,111,28,521,981,900,636,600,negative,
10128.0,6,0,1,118,33,424,908,920,656,630,123,24,337,820,880,627,620,negative,
10131.0,7,0,1,180,42,612,997,900,663,640,134,41,458,971,900,676,640,negative,
10132.0,6,0,1,89,37,542,671,740,519,510,81,30,556,757,700,556,530,negative,
10135.0,7,1,2,54,25,431,624,1250,2200,530,49,12,409,1552,1430,576,580,negative,
10137.0,8,0,2,185,21,585,1467,1340,571,570,156,25,522,1473,1630,577,560,negative,
10138.0,7,1,2,75,17,573,1054,1070,610,620,75,24,652,988,900,740,760,negative,
10146.0,7,0,2,164,26,675,1110,1160,687,680,109,25,569,877,900,627,590,negative,
10150.0,7,1,2,98,24,724,1092,1130,691,710,113,25,696,1159,1230,728,670,negative,
10151.0,7,1,2,98,27,563,949,900,612,650,108,25,564,993,970,629,640,negative,
10152.0,7,0,2,158,52,691,961,900,616,620,136,36,784,1143,1120,583,550,negative,
10153.0,8,1,2,213,38,743,916,900,728,720,148,43,871,1010,900,682,680,negative,
10162.0,8,0,2,198,51,445,857,900,554,530,189,37,432,782,750,584,550,negative,
10201.0,7,1,1,103,29,583,1394,1460,564,560,90,24,505,1369,1360,550,550,negative,
10202.0,7,1,1,59,30,210,1357,1350,455,440,101,30,234,1314,1300,472,450,negative,
10205.0,7,1,1,66,54,368,1183,900,843,860,109,61,340,1573,1350,834,860,negative,
10206.0,7,0,1,145,45,563,1067,1080,627,640,124,20,562,1298,1340,580,580,negative,
10213.0,8,0,2,156,102,98,1274,1270,426,420,156,44,159,1328,1290,429,430,negative,
10214.0,7,1,2,127,33,581,1003,1040,627,630,131,22,667,1099,1170,665,690,negative,
10215.0,8,1,2,73,20,567,1493,1460,611,600,61,16,476,1187,1230,645,700,negative,
